mid,party,poll,trend,moe,imputed,seat_trend
2021-09-21,afd,trend,0.11269123085949931,0.02291487247123907,TRUE,NA
2021-09-21,cdu,trend,0.21882162620631349,0.019700260238897573,TRUE,NA
2021-09-21,fdp,trend,0.11388008903184259,0.018140559807941964,TRUE,NA
2021-09-21,gru,trend,0.15351994253117907,0.024702346398723957,TRUE,NA
2021-09-21,lin,trend,0.06182887217611599,0.018965705997694593,TRUE,NA
2021-09-21,oth,trend,0.07522157637481439,0.022294457814741417,TRUE,NA
2021-09-21,spd,trend,0.2554137041773291,0.0176376476089631,TRUE,NA
2017-09-24,cdu,result,0.329,0,FALSE,0.3469675599435825
2017-09-24,spd,result,0.205,0,FALSE,0.2157968970380818
2017-09-24,afd,result,0.126,0,FALSE,0.1325811001410437
2017-09-24,fdp,result,0.107,0,FALSE,0.11283497884344147
2017-09-24,lin,result,0.092,0,FALSE,0.09732016925246827
2017-09-24,gru,result,0.089,0,FALSE,0.09449929478138223
