election_year,party,voteshare,chancellor,chancellor_party,gov,term,unemp,cdsu_gov,spd_gov,fdp_gov,gru_gov,lin_gov,lag_voteshare,polls_300_days_out,polls_200_days_out,prop_poll300_diff_from_lag_vote
1949,cdu,0.31,NA,NA,NA,NA,11,NA,NA,NA,NA,0,NA,NA,NA,NA
1949,fdp,0.118999996185303,NA,NA,NA,NA,11,NA,NA,NA,NA,0,NA,NA,NA,NA
1949,oth,0.27899999618530297,NA,NA,NA,NA,11,NA,NA,NA,NA,0,NA,NA,NA,NA
1949,spd,0.292000007629395,NA,NA,NA,NA,11,NA,NA,NA,NA,0,NA,NA,NA,NA
1953,cdu,0.452000007629395,cdu,1,1,1,8.39999961853027,1,0,1,0,0,0.31,0.33026972923786163,0.349698189995912,0.06538622334794075
1953,fdp,0.095,cdu,0,1,1,8.39999961853027,1,0,1,0,0,0.118999996185303,0.13497823056631492,0.132589646162452,0.1342708814555852
1953,oth,0.165,cdu,0,0,1,8.39999961853027,1,0,1,0,0,0.27899999618530297,0.17666449491458552,0.17092334075687549,0.3667939163796599
1953,spd,0.28799999237060503,cdu,0,0,1,8.39999961853027,1,0,1,0,0,0.292000007629395,0.34858705867308154,0.3435494188458309,0.1937912656341659
1957,cdu,0.502000007629395,cdu,1,1,2,3.70000004768372,1,0,1,0,0,0.452000007629395,0.3873585771669148,0.41575243128064543,0.14301201188359533
1957,fdp,0.0769999980926514,cdu,0,1,2,3.70000004768372,1,0,1,0,0,0.095,0.08232216415279184,0.08271898622695581,0.13345090365482276
1957,oth,0.10300000190734901,cdu,0,0,2,3.70000004768372,1,0,1,0,0,0.165,0.0964689647000876,0.09960852437670904,0.41533960787825697
1957,spd,0.317999992370605,cdu,0,0,2,3.70000004768372,1,0,1,0,0,0.28799999237060503,0.41602616685851174,0.4084789649862086,0.444535339859175
1961,cdu,0.45299999237060595,cdu,1,1,3,0.800000011920929,1,0,0,0,0,0.502000007629395,0.482217619211249,0.4644301198138756,0.039407147644408974
1961,fdp,0.128000001907349,cdu,0,0,3,0.800000011920929,1,0,0,0,0,0.0769999980926514,0.06211808095783067,0.06950966083808341,0.19327165588905396
1961,oth,0.056999998092651404,cdu,0,0,3,0.800000011920929,1,0,0,0,0,0.10300000190734901,0.05706707397545718,0.05524520708882741,0.44595074836221466
1961,spd,0.36200000762939505,cdu,0,0,3,0.800000011920929,1,0,0,0,0,0.317999992370605,0.40980368807374823,0.3959060486131441,0.2886908739172325
1965,cdu,0.475999984741211,cdu,1,1,4,0.699999988079071,1,0,1,0,0,0.45299999237060595,0.4469647436254384,0.4378991718811088,0.013322845136452025
1965,fdp,0.095,cdu,0,1,4,0.699999988079071,1,0,1,0,0,0.128000001907349,0.05801912700821928,0.08260471324472865,0.5467255770026034
1965,oth,0.036000022888183596,cdu,0,0,4,0.699999988079071,1,0,1,0,0,0.056999998092651404,0.03157881313294648,0.03013672051586653,0.44598571597114306
1965,spd,0.39299999237060596,cdu,0,0,4,0.699999988079071,1,0,1,0,0,0.36200000762939505,0.4700085342528617,0.44958312019173147,0.2983660893566682
1969,cdu,0.460999984741211,cdu,1,1,5,0.899999976158142,1,1,0,0,0,0.475999984741211,0.4298269441012876,0.4366677889464214,0.09700218932785584
1969,fdp,0.058000001907348595,cdu,0,0,5,0.899999976158142,1,1,0,0,0,0.095,0.0859845635458746,0.0812564330004621,0.0948993310960569
1969,oth,0.0540000057220459,cdu,0,0,5,0.899999976158142,1,1,0,0,0,0.036000022888183596,0.03869950001736011,0.05913665875284557,0.07498542813600748
1969,spd,0.42700000762939505,cdu,0,1,5,0.899999976158142,1,1,0,0,0,0.39299999237060596,0.44639281202142056,0.4255227297984841,0.13585959462427732
1972,cdu,0.44900001525878896,spd,0,0,1,1.10000002384186,0,1,1,0,0,0.460999984741211,0.4355936109896548,0.440345510308668,0.05511144163229945
1972,fdp,0.0839999961853027,spd,0,1,1,1.10000002384186,0,1,1,0,0,0.058000001907348595,0.05058199188465732,0.05225901323227353,0.12789672032323526
1972,oth,0.00899999618530273,spd,0,0,1,1.10000002384186,0,1,1,0,0,0.0540000057220459,0.01125782794017587,0.0175461637732866,0.7915217269027107
1972,spd,0.45799999237060596,spd,1,1,1,1.10000002384186,0,1,1,0,0,0.42700000762939505,0.4996255450834356,0.5077623989390905,0.17008322284873173
1976,cdu,0.48599998474121103,spd,0,0,2,4.59999990463257,0,1,1,0,0,0.44900001525878896,0.4887749158253971,0.5156622771324287,0.08858552163674915
1976,fdp,0.0790000009536743,spd,0,1,2,4.59999990463257,0,1,1,0,0,0.0839999961853027,0.0938555471270538,0.08514194952431511,0.11732799273002233
1976,oth,0.00900002956390381,spd,0,0,2,4.59999990463257,0,1,1,0,0,0.00899999618530273,0.01332157723793174,0.01320393196288124,0.48017587603940154
1976,spd,0.42599998474121104,spd,1,1,2,4.59999990463257,0,1,1,0,0,0.45799999237060596,0.4065804654979992,0.3845645735551534,0.11226971119903192
1980,cdu,0.445,spd,0,0,3,3.79999995231628,0,1,1,0,0,0.48599998474121103,0.45728190103934074,0.4541207985842846,0.05909070906074681
1980,fdp,0.106000003814697,spd,0,1,3,3.79999995231628,0,1,1,0,0,0.0790000009536743,0.07002565688491061,0.07122186752775357,0.11359929063831596
1980,gru,0.015,spd,0,0,3,3.79999995231628,0,1,1,0,0,0.001,0.001,0.001,0
1980,oth,0.00499998092651367,spd,0,0,3,3.79999995231628,0,1,1,0,0,0.00900002956390381,0.00606263119777506,0.00529869750108601,0.3263765241293983
1980,spd,0.429000015258789,spd,1,1,3,3.79999995231628,0,1,1,0,0,0.42599998474121104,0.4211994311275375,0.43280868700037006,0.011268905600054916
1983,cdu,0.487999992370606,spd,0,0,4,9.10000038146973,0,1,1,0,0,0.445,0.5016258090291483,0.579457728290785,0.1272490090542659
1983,fdp,0.07,spd,0,1,4,9.10000038146973,0,1,1,0,0,0.106000003814697,0.07416235524022387,0.04751585607105524,0.3003551644217848
1983,gru,0.0559999990463257,spd,0,0,4,9.10000038146973,0,1,1,0,0,0.015,0.07070306572828598,0.0776483139787208,3.713537715219066
1983,oth,0.00400000095367432,spd,0,0,4,9.10000038146973,0,1,1,0,0,0.00499998092651367,0.00920539197051871,0.01206365013255967,0.8410854172872501
1983,spd,0.382000007629395,spd,1,1,4,9.10000038146973,0,1,1,0,0,0.429000015258789,0.3415566641865291,0.28157680578183986,0.20383064793018899
