,date,poll,start,end,n,party,share
0,2021-08-09,allensbach,2021-09-01,2021-09-07,1258.0,CDU/CSU,0.25
1,2021-08-28,allensbach,2021-08-18,2021-08-26,1038.0,CDU/CSU,0.26
2,2021-08-19,allensbach,2021-08-05,2021-08-17,1018.0,CDU/CSU,0.275
3,2021-07-28,allensbach,2021-07-03,2021-07-22,1243.0,CDU/CSU,0.3
4,2021-07-20,allensbach,2021-07-03,2021-07-14,1028.0,CDU/CSU,0.315
5,2021-06-16,allensbach,2021-05-28,2021-06-09,1070.0,CDU/CSU,0.295
6,2021-05-19,allensbach,2021-05-01,2021-05-13,1027.0,CDU/CSU,0.275
7,2021-04-21,allensbach,2021-04-06,2021-04-15,1051.0,CDU/CSU,0.28
8,2021-03-24,allensbach,2021-03-08,2021-03-21,1006.0,CDU/CSU,0.285
9,2021-02-25,allensbach,2021-02-04,2021-02-17,1082.0,CDU/CSU,0.37
10,2021-01-28,allensbach,2021-01-10,2021-01-20,1080.0,CDU/CSU,0.37
11,2020-12-16,allensbach,2020-11-28,2020-12-10,1022.0,CDU/CSU,0.37
12,2020-11-18,allensbach,2020-11-01,2020-11-11,1286.0,CDU/CSU,0.37
13,2020-10-23,allensbach,2020-10-07,2020-10-20,1045.0,CDU/CSU,0.355
14,2020-09-22,allensbach,2020-09-04,2020-09-16,1043.0,CDU/CSU,0.37
15,2020-08-27,allensbach,2020-08-05,2020-08-18,1231.0,CDU/CSU,0.38
16,2020-07-22,allensbach,2020-07-03,2020-07-16,1237.0,CDU/CSU,0.38
17,2020-06-18,allensbach,2020-06-01,2020-06-13,1314.0,CDU/CSU,0.4
18,2020-05-22,allensbach,2020-05-06,2020-05-14,1013.0,CDU/CSU,0.38
19,2020-04-24,allensbach,2020-04-01,2020-04-15,1152.0,CDU/CSU,0.38
20,2020-03-25,allensbach,2020-03-05,2020-03-18,1219.0,CDU/CSU,0.29
21,2020-02-19,allensbach,2020-02-01,2020-02-12,1262.0,CDU/CSU,0.275
22,2020-01-29,allensbach,2020-01-09,2020-01-22,1273.0,CDU/CSU,0.285
23,2019-12-19,allensbach,2019-12-01,2019-12-11,1270.0,CDU/CSU,0.285
24,2019-11-19,allensbach,2019-11-02,2019-11-13,1298.0,CDU/CSU,0.295
25,2019-10-16,allensbach,2019-09-27,2019-10-10,1238.0,CDU/CSU,0.295
26,2019-09-17,allensbach,2019-09-01,2019-09-12,1255.0,CDU/CSU,0.29
27,2019-08-21,allensbach,2019-08-02,2019-08-15,1262.0,CDU/CSU,0.295
28,2019-07-24,allensbach,2019-07-01,2019-07-11,1228.0,CDU/CSU,0.295
29,2019-06-21,allensbach,2019-06-01,2019-06-12,1273.0,CDU/CSU,0.29
30,2019-05-23,allensbach,2019-05-03,2019-05-16,1283.0,CDU/CSU,0.3
