,date,poll,start,end,n,party,share
31,2019-04-18,allensbach,2019-04-01,2019-04-12,1305.0,CDU/CSU,0.3
32,2019-03-27,allensbach,2019-03-07,2019-03-21,1198.0,CDU/CSU,0.3
33,2019-02-19,allensbach,2019-02-01,2019-02-13,1222.0,CDU/CSU,0.3
34,2019-01-23,allensbach,2019-01-05,2019-01-17,1249.0,CDU/CSU,0.315
35,2018-12-20,allensbach,2018-12-01,2018-12-12,1295.0,CDU/CSU,0.29
36,2018-11-30,allensbach,2018-11-02,2018-11-15,1242.0,CDU/CSU,0.28
37,2018-10-18,allensbach,2018-09-28,2018-10-11,1259.0,CDU/CSU,0.29
38,2018-09-18,allensbach,2018-09-01,2018-09-13,1258.0,CDU/CSU,0.315
39,2018-08-15,allensbach,2018-07-27,2018-08-09,1295.0,CDU/CSU,0.31
40,2018-07-17,allensbach,2018-07-01,2018-07-12,1295.0,CDU/CSU,0.305
41,2018-06-20,allensbach,2018-06-01,2018-06-13,1279.0,CDU/CSU,0.33
42,2018-05-17,allensbach,2018-04-24,2018-05-08,1253.0,CDU/CSU,0.34
43,2018-04-25,allensbach,2018-04-03,2018-04-17,1279.0,CDU/CSU,0.34
44,2018-03-21,allensbach,2018-03-02,2018-03-15,1256.0,CDU/CSU,0.34
45,2018-02-23,allensbach,2018-02-02,2018-02-15,1271.0,CDU/CSU,0.32
46,2018-01-25,allensbach,2018-01-05,2018-01-18,1221.0,CDU/CSU,0.34
47,2017-12-21,allensbach,2017-12-01,2017-12-14,1443.0,CDU/CSU,0.34
48,2017-11-30,allensbach,2017-11-22,2017-11-27,1299.0,CDU/CSU,0.33
49,2017-10-25,allensbach,2017-10-07,2017-10-19,1454.0,CDU/CSU,0.33
50,2021-09-16,emnid,2021-09-08,2021-09-14,1543.0,CDU/CSU,0.2
51,2021-09-09,emnid,2021-09-01,2021-09-07,1901.0,CDU/CSU,0.21
52,2021-02-09,emnid,2021-08-25,2021-08-31,1439.0,CDU/CSU,0.21
53,2021-08-26,emnid,2021-08-18,2021-08-24,1919.0,CDU/CSU,0.23
54,2021-08-19,emnid,2021-08-11,2021-08-17,1920.0,CDU/CSU,0.22
55,2021-11-08,emnid,2021-08-04,2021-08-10,1446.0,CDU/CSU,0.22
56,2021-04-08,emnid,2021-07-28,2021-08-03,1413.0,CDU/CSU,0.24
57,2021-07-30,emnid,2021-07-20,2021-07-27,1441.0,CDU/CSU,0.27
58,2021-07-23,emnid,2021-07-14,2021-07-20,1421.0,CDU/CSU,0.28
59,2021-07-16,emnid,2021-07-07,2021-07-13,1495.0,CDU/CSU,0.28
60,2021-10-07,emnid,2021-06-29,2021-07-06,1405.0,CDU/CSU,0.29
61,2021-02-07,emnid,2021-06-23,2021-06-29,1418.0,CDU/CSU,0.28
62,2021-06-25,emnid,2021-06-15,2021-06-22,1430.0,CDU/CSU,0.28
63,2021-06-18,emnid,2021-06-09,2021-06-15,1413.0,CDU/CSU,0.27
64,2021-11-06,emnid,2021-06-02,2021-06-08,1421.0,CDU/CSU,0.26
65,2021-05-06,emnid,2021-05-26,2021-06-01,1419.0,CDU/CSU,0.24
66,2021-05-28,emnid,2021-05-19,2021-05-25,1422.0,CDU/CSU,0.25
67,2021-05-21,emnid,2021-05-11,2021-05-18,1445.0,CDU/CSU,0.26
68,2021-05-15,emnid,2021-05-06,2021-05-11,1428.0,CDU/CSU,0.24
69,2021-08-05,emnid,2021-04-29,2021-05-05,1910.0,CDU/CSU,0.23
70,2021-01-05,emnid,2021-04-22,2021-04-28,1442.0,CDU/CSU,0.24
71,2021-04-24,emnid,2021-04-15,2021-04-21,1225.0,CDU/CSU,0.27
72,2021-04-18,emnid,2021-04-08,2021-04-14,1437.0,CDU/CSU,0.29
73,2021-11-04,emnid,2021-03-31,2021-04-07,1448.0,CDU/CSU,0.27
74,2021-04-04,emnid,2021-03-25,2021-03-31,1429.0,CDU/CSU,0.26
75,2021-03-27,emnid,2021-03-18,2021-03-24,1447.0,CDU/CSU,0.25
76,2021-03-20,emnid,2021-03-11,2021-03-17,1942.0,CDU/CSU,0.27
77,2021-03-14,emnid,2021-03-04,2021-03-10,2378.0,CDU/CSU,0.31
78,2021-07-03,emnid,2021-02-25,2021-03-03,2410.0,CDU/CSU,0.32
79,2021-02-27,emnid,2021-02-18,2021-02-24,1869.0,CDU/CSU,0.34
80,2021-02-20,emnid,2021-02-11,2021-02-17,1905.0,CDU/CSU,0.34
81,2021-02-14,emnid,2021-02-04,2021-02-10,1569.0,CDU/CSU,0.35
82,2021-07-02,emnid,2021-01-28,2021-02-03,1412.0,CDU/CSU,0.36
83,2021-01-31,emnid,2021-01-21,2021-01-27,1427.0,CDU/CSU,0.36
84,2021-01-24,emnid,2021-01-14,2021-01-20,1922.0,CDU/CSU,0.35
85,2021-01-17,emnid,2021-01-05,2021-01-13,2398.0,CDU/CSU,0.36
86,2020-12-19,emnid,2020-12-10,2020-12-16,2401.0,CDU/CSU,0.35
87,2020-12-13,emnid,2020-12-03,2020-12-09,2374.0,CDU/CSU,0.35
88,2020-06-12,emnid,2020-11-26,2020-12-02,1438.0,CDU/CSU,0.35
89,2020-11-29,emnid,2020-11-19,2020-11-25,1517.0,CDU/CSU,0.34
90,2020-11-22,emnid,2020-11-12,2020-11-18,1927.0,CDU/CSU,0.36
91,2020-11-15,emnid,2020-11-05,2020-11-11,2405.0,CDU/CSU,0.35
92,2020-08-11,emnid,2020-10-29,2020-11-04,1415.0,CDU/CSU,0.36
93,2020-01-11,emnid,2020-10-22,2020-10-28,1987.0,CDU/CSU,0.35
94,2020-10-24,emnid,2020-10-15,2020-10-21,1434.0,CDU/CSU,0.35
95,2020-10-17,emnid,2020-10-08,2020-10-14,2407.0,CDU/CSU,0.35
96,2020-11-10,emnid,2020-10-01,2020-10-07,1411.0,CDU/CSU,0.34
97,2020-04-10,emnid,2020-09-22,2020-09-30,2397.0,CDU/CSU,0.35
98,2020-09-27,emnid,2020-09-17,2020-09-23,1509.0,CDU/CSU,0.36
99,2020-09-19,emnid,2020-09-10,2020-09-16,1534.0,CDU/CSU,0.36
100,2020-09-13,emnid,2020-09-03,2020-09-09,1446.0,CDU/CSU,0.36
101,2020-06-09,emnid,2020-08-27,2020-09-02,1447.0,CDU/CSU,0.36
102,2020-08-30,emnid,2020-08-18,2020-08-26,1597.0,CDU/CSU,0.36
103,2020-08-23,emnid,2020-08-13,2020-08-19,2107.0,CDU/CSU,0.36
104,2020-08-16,emnid,2020-08-06,2020-08-12,1912.0,CDU/CSU,0.36
105,2020-09-08,emnid,2020-07-30,2020-08-06,1564.0,CDU/CSU,0.38
106,2020-02-08,emnid,2020-07-23,2020-07-29,1449.0,CDU/CSU,0.37
107,2020-07-26,emnid,2020-07-16,2020-07-22,2031.0,CDU/CSU,0.37
108,2020-07-18,emnid,2020-07-09,2020-07-15,1449.0,CDU/CSU,0.38
109,2020-12-07,emnid,2020-07-02,2020-07-08,1426.0,CDU/CSU,0.38
110,2020-04-07,emnid,2020-06-24,2020-07-02,1436.0,CDU/CSU,0.37
111,2020-06-27,emnid,2020-06-18,2020-06-24,1550.0,CDU/CSU,0.37
112,2020-06-20,emnid,2020-06-10,2020-06-17,2403.0,CDU/CSU,0.38
113,2020-06-13,emnid,2020-06-04,2020-06-09,1934.0,CDU/CSU,0.39
114,2020-06-06,emnid,2020-05-28,2020-06-03,1428.0,CDU/CSU,0.38
115,2020-05-30,emnid,2020-05-20,2020-05-26,1934.0,CDU/CSU,0.4
116,2020-05-23,emnid,2020-05-14,2020-05-19,1914.0,CDU/CSU,0.38
117,2020-05-16,emnid,2020-05-07,2020-05-13,1559.0,CDU/CSU,0.39
118,2020-09-05,emnid,2020-04-30,2020-05-06,1426.0,CDU/CSU,0.38
119,2020-02-05,emnid,2020-04-22,2020-04-29,1443.0,CDU/CSU,0.37
120,2020-04-25,emnid,2020-04-16,2020-04-22,2003.0,CDU/CSU,0.38
121,2020-04-18,emnid,2020-04-09,2020-04-15,1534.0,CDU/CSU,0.37
122,2020-11-04,emnid,2020-04-02,2020-04-08,1912.0,CDU/CSU,0.37
123,2020-04-04,emnid,2020-03-25,2020-04-01,1426.0,CDU/CSU,0.33
124,2020-03-28,emnid,2020-03-18,2020-03-25,1441.0,CDU/CSU,0.32
125,2020-03-21,emnid,2020-03-12,2020-03-18,1603.0,CDU/CSU,0.28
126,2020-03-14,emnid,2020-03-04,2020-03-11,1414.0,CDU/CSU,0.26
127,2020-08-03,emnid,2020-02-27,2020-03-04,1423.0,CDU/CSU,0.24
128,2020-01-03,emnid,2020-02-20,2020-02-27,1509.0,CDU/CSU,0.25
129,2020-02-22,emnid,2020-02-13,2020-02-19,1417.0,CDU/CSU,0.27
130,2020-02-15,emnid,2020-02-06,2020-02-12,1886.0,CDU/CSU,0.28
131,2020-09-02,emnid,2020-01-30,2020-02-05,1889.0,CDU/CSU,0.28
132,2020-01-02,emnid,2020-01-23,2020-01-29,1442.0,CDU/CSU,0.27
133,2020-01-25,emnid,2020-01-16,2020-01-22,2100.0,CDU/CSU,0.26
134,2020-01-18,emnid,2020-01-09,2020-01-15,2009.0,CDU/CSU,0.26
135,2020-11-01,emnid,2020-12-19,2020-01-08,1829.0,CDU/CSU,0.27
136,2019-12-21,emnid,2019-12-12,2019-12-18,1899.0,CDU/CSU,0.27
137,2019-12-14,emnid,2019-12-05,2019-12-11,1978.0,CDU/CSU,0.28
138,2019-07-12,emnid,2019-11-28,2019-12-04,1876.0,CDU/CSU,0.28
139,2019-11-30,emnid,2019-11-20,2019-11-27,1910.0,CDU/CSU,0.28
140,2019-11-23,emnid,2019-11-13,2019-11-20,1905.0,CDU/CSU,0.28
141,2019-11-16,emnid,2019-11-07,2019-11-13,1525.0,CDU/CSU,0.27
142,2019-09-11,emnid,2019-10-30,2019-11-06,1431.0,CDU/CSU,0.26
143,2019-02-11,emnid,2019-10-24,2019-10-30,1920.0,CDU/CSU,0.27
144,2019-10-26,emnid,2019-10-17,2019-10-23,1441.0,CDU/CSU,0.29
145,2019-10-19,emnid,2019-10-10,2019-10-16,1444.0,CDU/CSU,0.29
146,2019-12-10,emnid,2019-10-02,2019-10-09,1916.0,CDU/CSU,0.28
147,2019-05-10,emnid,2019-09-26,2019-10-01,1449.0,CDU/CSU,0.27
148,2019-09-28,emnid,2019-09-19,2019-09-25,1719.0,CDU/CSU,0.27
149,2019-09-21,emnid,2019-09-12,2019-09-18,1639.0,CDU/CSU,0.29
150,2019-09-14,emnid,2019-09-05,2019-09-11,2835.0,CDU/CSU,0.28
151,2019-07-09,emnid,2019-08-29,2019-09-04,1884.0,CDU/CSU,0.29
152,2019-08-31,emnid,2019-08-22,2019-08-28,1434.0,CDU/CSU,0.29
153,2019-08-24,emnid,2019-08-15,2019-08-21,1555.0,CDU/CSU,0.27
154,2019-08-17,emnid,2019-08-08,2019-08-14,1897.0,CDU/CSU,0.27
155,2019-10-08,emnid,2019-08-01,2019-08-07,2388.0,CDU/CSU,0.26
156,2019-03-08,emnid,2019-07-25,2019-07-31,1419.0,CDU/CSU,0.26
157,2019-07-27,emnid,2019-07-18,2019-07-24,1520.0,CDU/CSU,0.26
158,2019-07-20,emnid,2019-07-11,2019-07-17,1908.0,CDU/CSU,0.27
159,2019-07-13,emnid,2019-07-04,2019-07-10,2377.0,CDU/CSU,0.26
160,2019-06-07,emnid,2019-06-27,2019-07-03,2389.0,CDU/CSU,0.26
161,2019-06-29,emnid,2019-06-21,2019-06-26,1906.0,CDU/CSU,0.26
162,2019-06-22,emnid,2019-06-13,2019-06-18,1910.0,CDU/CSU,0.27
163,2019-06-15,emnid,2019-06-06,2019-06-12,2377.0,CDU/CSU,0.25
164,2019-08-06,emnid,2019-05-29,2019-06-05,1903.0,CDU/CSU,0.27
165,2019-01-06,emnid,2019-05-23,2019-05-28,1413.0,CDU/CSU,0.28
166,2019-05-25,emnid,2019-05-16,2019-05-22,1895.0,CDU/CSU,0.29
167,2019-05-18,emnid,2019-05-09,2019-05-15,1975.0,CDU/CSU,0.29
168,2019-11-05,emnid,2019-05-02,2019-05-08,2393.0,CDU/CSU,0.29
169,2019-04-05,emnid,2019-04-25,2019-04-30,1903.0,CDU/CSU,0.28
170,2019-04-27,emnid,2019-04-18,2019-04-24,1433.0,CDU/CSU,0.28
171,2019-04-20,emnid,2019-04-11,2019-04-17,2709.0,CDU/CSU,0.28
172,2019-04-13,emnid,2019-04-04,2019-04-10,2559.0,CDU/CSU,0.3
173,2019-06-04,emnid,2019-03-28,2019-04-03,2335.0,CDU/CSU,0.31
174,2019-03-30,emnid,2019-03-21,2019-03-27,2361.0,CDU/CSU,0.3
175,2019-03-23,emnid,2019-03-14,2019-03-20,1518.0,CDU/CSU,0.31
176,2019-03-16,emnid,2019-03-07,2019-03-13,1904.0,CDU/CSU,0.31
177,2019-09-03,emnid,2019-02-28,2019-03-06,1906.0,CDU/CSU,0.31
178,2019-02-03,emnid,2019-02-21,2019-02-27,1420.0,CDU/CSU,0.29
179,2019-02-23,emnid,2019-02-14,2019-02-20,1511.0,CDU/CSU,0.29
180,2019-02-16,emnid,2019-02-07,2019-02-13,1891.0,CDU/CSU,0.3
181,2019-09-02,emnid,2019-01-31,2019-02-06,1900.0,CDU/CSU,0.3
182,2019-02-02,emnid,2019-01-24,2019-01-30,1434.0,CDU/CSU,0.29
183,2019-01-26,emnid,2019-01-17,2019-01-23,2017.0,CDU/CSU,0.29
184,2019-01-19,emnid,2019-01-10,2019-01-16,1448.0,CDU/CSU,0.3
185,2019-12-01,emnid,2019-01-03,2019-01-09,1964.0,CDU/CSU,0.31
186,2018-12-22,emnid,2018-12-13,2018-12-19,1889.0,CDU/CSU,0.29
187,2018-12-15,emnid,2018-12-06,2018-12-12,1997.0,CDU/CSU,0.3
188,2018-08-12,emnid,2018-11-29,2018-12-05,2469.0,CDU/CSU,0.29
189,2018-01-12,emnid,2018-11-22,2018-11-28,1531.0,CDU/CSU,0.28
190,2018-11-24,emnid,2018-11-15,2018-11-21,2361.0,CDU/CSU,0.26
191,2018-11-17,emnid,2018-11-08,2018-11-14,1987.0,CDU/CSU,0.26
192,2018-10-11,emnid,2018-11-05,2018-11-07,1518.0,CDU/CSU,0.25
193,2018-03-11,emnid,2018-10-25,2018-10-31,1815.0,CDU/CSU,0.25
194,2018-10-27,emnid,2018-10-18,2018-10-24,1905.0,CDU/CSU,0.24
195,2018-10-20,emnid,2018-10-11,2018-10-17,1609.0,CDU/CSU,0.25
196,2018-10-13,emnid,2018-10-04,2018-10-10,1899.0,CDU/CSU,0.26
197,2018-06-10,emnid,2018-09-27,2018-10-02,1515.0,CDU/CSU,0.27
198,2018-09-29,emnid,2018-09-20,2018-09-26,1902.0,CDU/CSU,0.27
199,2018-09-22,emnid,2018-09-13,2018-09-19,2368.0,CDU/CSU,0.28
200,2018-09-15,emnid,2018-09-06,2018-09-12,1978.0,CDU/CSU,0.3
201,2018-08-09,emnid,2018-08-30,2018-09-05,2472.0,CDU/CSU,0.29
202,2018-01-09,emnid,2018-08-23,2018-08-29,2390.0,CDU/CSU,0.3
203,2018-08-25,emnid,2018-08-16,2018-08-22,1891.0,CDU/CSU,0.3
204,2018-08-18,emnid,2018-08-09,2018-08-15,2942.0,CDU/CSU,0.3
205,2018-11-08,emnid,2018-08-02,2018-08-08,2502.0,CDU/CSU,0.31
206,2018-04-08,emnid,2018-07-26,2018-08-01,2478.0,CDU/CSU,0.3
207,2018-07-28,emnid,2018-07-19,2018-07-25,2001.0,CDU/CSU,0.29
208,2018-07-21,emnid,2018-07-12,2018-07-18,2476.0,CDU/CSU,0.3
209,2018-07-14,emnid,2018-07-05,2018-07-11,2368.0,CDU/CSU,0.3
210,2018-07-07,emnid,2018-06-28,2018-07-04,1894.0,CDU/CSU,0.3
211,2018-06-30,emnid,2018-06-21,2018-06-28,1954.0,CDU/CSU,0.32
212,2018-06-23,emnid,2018-06-14,2018-06-20,2336.0,CDU/CSU,0.31
213,2018-06-16,emnid,2018-06-07,2018-06-13,2310.0,CDU/CSU,0.33
214,2018-09-06,emnid,2018-05-30,2018-06-06,1950.0,CDU/CSU,0.32
215,2018-02-06,emnid,2018-05-24,2018-05-29,1397.0,CDU/CSU,0.32
216,2018-05-26,emnid,2018-05-17,2018-05-23,1946.0,CDU/CSU,0.33
217,2018-05-19,emnid,2018-05-09,2018-05-16,2030.0,CDU/CSU,0.33
218,2018-12-05,emnid,2018-05-03,2018-05-08,1489.0,CDU/CSU,0.33
219,2018-05-05,emnid,2018-04-26,2018-05-02,1507.0,CDU/CSU,0.34
220,2018-04-28,emnid,2018-04-19,2018-04-25,2350.0,CDU/CSU,0.32
221,2018-04-21,emnid,2018-04-12,2018-04-18,2437.0,CDU/CSU,0.33
222,2018-04-14,emnid,2018-04-05,2018-04-11,1786.0,CDU/CSU,0.33
223,2018-07-04,emnid,2018-03-29,2018-04-05,1414.0,CDU/CSU,0.34
224,2018-03-31,emnid,2018-03-22,2018-03-28,1982.0,CDU/CSU,0.34
225,2018-03-24,emnid,2018-03-15,2018-03-21,1972.0,CDU/CSU,0.34
226,2018-03-17,emnid,2018-03-08,2018-03-14,1959.0,CDU/CSU,0.33
227,2018-10-03,emnid,2018-03-01,2018-03-07,1869.0,CDU/CSU,0.33
228,2018-03-03,emnid,2018-02-22,2018-02-28,1890.0,CDU/CSU,0.33
229,2018-02-24,emnid,2018-02-15,2018-02-21,1985.0,CDU/CSU,0.33
230,2018-02-17,emnid,2018-02-08,2018-02-14,1478.0,CDU/CSU,0.33
231,2018-10-02,emnid,2018-02-01,2018-02-07,1226.0,CDU/CSU,0.34
232,2018-03-02,emnid,2018-01-25,2018-01-31,1247.0,CDU/CSU,0.33
233,2018-01-27,emnid,2018-01-18,2018-01-24,1513.0,CDU/CSU,0.34
234,2018-01-20,emnid,2018-01-11,2018-01-17,1419.0,CDU/CSU,0.33
235,2018-01-13,emnid,2018-01-04,2018-01-10,1899.0,CDU/CSU,0.34
236,2018-06-01,emnid,2018-12-21,2018-01-03,1440.0,CDU/CSU,0.33
237,2017-12-23,emnid,2017-12-14,2017-12-20,1861.0,CDU/CSU,0.33
238,2017-12-16,emnid,2017-12-07,2017-12-13,1865.0,CDU/CSU,0.32
239,2017-11-25,emnid,2017-11-20,2017-11-23,1225.0,CDU/CSU,0.33
240,2017-11-18,emnid,2017-11-09,2017-11-15,1842.0,CDU/CSU,0.31
241,2017-11-11,emnid,2017-11-02,2017-11-08,1392.0,CDU/CSU,0.3
242,2017-10-28,emnid,2017-10-19,2017-10-25,2296.0,CDU/CSU,0.31
243,2017-10-21,emnid,2017-10-12,2017-10-18,2304.0,CDU/CSU,0.32
244,2017-10-14,emnid,2017-10-05,2017-10-11,1960.0,CDU/CSU,0.31
245,2017-09-30,emnid,2017-09-25,2017-09-27,1038.0,CDU/CSU,0.33
246,2017-12-08,emnid,2017-08-03,2017-08-09,1886.0,CDU/CSU,0.38
247,2017-10-06,emnid,2017-06-01,2017-06-07,1398.0,CDU/CSU,0.39
248,2017-11-03,emnid,2017-03-02,2017-03-08,1882.0,CDU/CSU,0.33
249,2017-11-02,emnid,2017-02-02,2017-02-08,1966.0,CDU/CSU,0.33
250,2021-09-21,forsa,2021-09-14,2021-09-20,2502.0,CDU/CSU,0.22
251,2021-09-14,forsa,2021-09-07,2021-09-13,2501.0,CDU/CSU,0.21
252,2021-07-09,forsa,2021-08-31,2021-09-06,2505.0,CDU/CSU,0.19
253,2021-08-31,forsa,2021-08-24,2021-08-30,2508.0,CDU/CSU,0.21
254,2021-08-24,forsa,2021-08-17,2021-08-23,2504.0,CDU/CSU,0.22
255,2021-08-18,forsa,2021-08-10,2021-08-16,2501.0,CDU/CSU,0.23
256,2021-11-08,forsa,2021-08-03,2021-08-09,2509.0,CDU/CSU,0.23
257,2021-03-08,forsa,2021-07-27,2021-08-02,2502.0,CDU/CSU,0.26
258,2021-07-28,forsa,2021-07-20,2021-07-26,2501.0,CDU/CSU,0.26
259,2021-07-21,forsa,2021-07-13,2021-07-19,2503.0,CDU/CSU,0.28
260,2021-07-14,forsa,2021-07-06,2021-07-12,2502.0,CDU/CSU,0.3
261,2021-07-07,forsa,2021-06-29,2021-07-05,2505.0,CDU/CSU,0.3
262,2021-06-30,forsa,2021-06-22,2021-06-28,2501.0,CDU/CSU,0.3
263,2021-06-23,forsa,2021-06-15,2021-06-21,2502.0,CDU/CSU,0.29
264,2021-06-16,forsa,2021-06-08,2021-06-14,2501.0,CDU/CSU,0.28
265,2021-09-06,forsa,2021-06-01,2021-06-07,2501.0,CDU/CSU,0.27
266,2021-02-06,forsa,2021-05-25,2021-05-31,2500.0,CDU/CSU,0.25
267,2021-05-26,forsa,2021-05-18,2021-05-21,2004.0,CDU/CSU,0.24
268,2021-05-19,forsa,2021-05-11,2021-05-17,2001.0,CDU/CSU,0.24
269,2021-12-05,forsa,2021-05-04,2021-05-10,2501.0,CDU/CSU,0.24
270,2021-12-05,forsa,2021-05-04,2021-05-10,2501.0,CDU/CSU,0.24
271,2021-05-05,forsa,2021-04-27,2021-05-03,2508.0,CDU/CSU,0.23
272,2021-04-28,forsa,2021-04-20,2021-04-26,2507.0,CDU/CSU,0.22
273,2021-04-20,forsa,2021-04-20,2021-04-20,1502.0,CDU/CSU,0.21
274,2021-04-20,forsa,2021-04-13,2021-04-16,2003.0,CDU/CSU,0.28
275,2021-04-14,forsa,2021-04-06,2021-04-12,2500.0,CDU/CSU,0.27
276,2021-07-04,forsa,2021-03-30,2021-04-01,1501.0,CDU/CSU,0.27
277,2021-03-31,forsa,2021-03-23,2021-03-29,2503.0,CDU/CSU,0.27
278,2021-03-24,forsa,2021-03-16,2021-03-22,2511.0,CDU/CSU,0.26
279,2021-03-17,forsa,2021-03-09,2021-03-15,2501.0,CDU/CSU,0.29
280,2021-10-03,forsa,2021-03-02,2021-03-08,2510.0,CDU/CSU,0.33
281,2021-02-03,forsa,2021-02-25,2021-03-01,2501.0,CDU/CSU,0.34
282,2021-02-23,forsa,2021-02-16,2021-02-22,2505.0,CDU/CSU,0.35
283,2021-02-16,forsa,2021-02-09,2021-02-15,2502.0,CDU/CSU,0.35
284,2021-09-02,forsa,2021-02-02,2021-02-08,2501.0,CDU/CSU,0.37
285,2021-02-02,forsa,2021-01-26,2021-02-01,2503.0,CDU/CSU,0.37
286,2021-01-26,forsa,2021-01-18,2021-01-25,3005.0,CDU/CSU,0.37
287,2021-01-18,forsa,2021-01-16,2021-01-17,2014.0,CDU/CSU,0.35
288,2021-01-18,forsa,2021-01-11,2021-01-15,2504.0,CDU/CSU,0.35
289,2021-09-01,forsa,2021-01-04,2021-01-08,2503.0,CDU/CSU,0.36
290,2020-12-26,forsa,2020-12-21,2020-12-23,1501.0,CDU/CSU,0.36
291,2020-12-19,forsa,2020-12-14,2020-12-18,2505.0,CDU/CSU,0.37
292,2020-12-12,forsa,2020-12-07,2020-12-11,2503.0,CDU/CSU,0.37
293,2020-05-12,forsa,2020-11-30,2020-12-04,2507.0,CDU/CSU,0.36
294,2020-11-28,forsa,2020-11-23,2020-11-27,2500.0,CDU/CSU,0.37
295,2020-11-21,forsa,2020-11-16,2020-11-19,2505.0,CDU/CSU,0.36
296,2020-11-14,forsa,2020-11-09,2020-11-13,2502.0,CDU/CSU,0.36
297,2020-07-11,forsa,2020-11-02,2020-11-06,2502.0,CDU/CSU,0.36
298,2020-10-31,forsa,2020-10-26,2020-10-30,2503.0,CDU/CSU,0.35
299,2020-10-24,forsa,2020-10-19,2020-10-23,2503.0,CDU/CSU,0.36
300,2020-10-17,forsa,2020-10-12,2020-10-16,2501.0,CDU/CSU,0.36
301,2020-10-10,forsa,2020-10-05,2020-10-09,2504.0,CDU/CSU,0.36
302,2020-03-10,forsa,2020-09-29,2020-10-02,2502.0,CDU/CSU,0.36
303,2020-09-26,forsa,2020-09-21,2020-09-25,2504.0,CDU/CSU,0.35
304,2020-09-19,forsa,2020-09-14,2020-09-18,2501.0,CDU/CSU,0.36
305,2020-12-09,forsa,2020-09-07,2020-09-11,2501.0,CDU/CSU,0.36
306,2020-05-09,forsa,2020-08-31,2020-09-04,2503.0,CDU/CSU,0.36
307,2020-08-29,forsa,2020-08-24,2020-08-28,2502.0,CDU/CSU,0.36
308,2020-08-22,forsa,2020-08-17,2020-08-21,2504.0,CDU/CSU,0.36
309,2020-08-15,forsa,2020-08-10,2020-08-14,2501.0,CDU/CSU,0.36
310,2020-08-08,forsa,2020-08-03,2020-08-07,2502.0,CDU/CSU,0.38
311,2020-01-08,forsa,2020-07-27,2020-07-31,2504.0,CDU/CSU,0.38
312,2020-07-25,forsa,2020-07-20,2020-07-24,2504.0,CDU/CSU,0.38
313,2020-07-18,forsa,2020-07-13,2020-07-16,2501.0,CDU/CSU,0.38
314,2020-11-07,forsa,2020-07-06,2020-07-10,2500.0,CDU/CSU,0.38
315,2020-04-07,forsa,2020-06-29,2020-07-03,2503.0,CDU/CSU,0.38
