yhat_seat_mean,yhat_seat_upper_95,yhat_seat_lower_95,yhat_seat_upper_80,yhat_seat_lower_80,pr_majority,coalition,election_year
0.46121179463446005,0.5246488905862772,0.40450376504870683,0.4980143913178452,0.42529780459449174,0.08985,bg,1980
0.5477923336128946,0.5881014724498274,0.5120295391062123,0.5721501053700122,0.5247727822458481,0.99395,jamaica,1980
0.5459570512074146,0.6042194784958004,0.48839394672467523,0.5823800391791413,0.5108446671157243,0.94915,traffic,1980
0.45937651222898007,0.5037691662465429,0.4230987204722225,0.4855778686765442,0.4355957289260194,0.0344,rrg,1980
0.9062506151796909,0.9408104157921895,0.8470321331382453,0.9296074890826085,0.8717857358891292,1,grand,1980
0.5406234877710199,0.5769012795277774,0.4962308337534569,0.5644042710739807,0.5144221313234558,0.9656,by,1980
0.5571087350693358,0.6196792236675208,0.4828387387451031,0.5935877710903517,0.5192050175661057,0.9498,bg,1983
0.6399153166774729,0.6854305602812585,0.5849033213403341,0.6691909257233681,0.6089680711832012,0.9999,jamaica,1983
0.5131389855197874,0.5507973206814362,0.47236078837271467,0.5360383076768532,0.49027187798368577,0.7804,traffic,1983
0.4303324039116503,0.4710253477795426,0.3900072339391557,0.45445937529849245,0.4060215051454178,0.0024,rrg,1983
0.8469456978027396,0.9045007026279104,0.815774758272284,0.8684342451398368,0.8266566296262434,1,grand,1983
0.5696675960883497,0.6099927660608443,0.5289746522204574,0.5939784948545822,0.5455406247015075,0.9976,by,1983
0.5510036532800467,0.5754526405001681,0.5244194673414588,0.5664868547644658,0.5354209375813688,0.99895,bg,1987
0.6343430148971126,0.6766949643646126,0.5855497212502686,0.661135289853556,0.6082177653740062,0.9999,jamaica,1987
0.5346887628123901,0.570516803875863,0.4975891317105453,0.5566022458862108,0.5134069569451429,0.9701,traffic,1987
0.4513494011953242,0.4811954639615596,0.424070688014272,0.4688301163637205,0.43428663262486544,0.0036,rrg,1987
0.8309682222904973,0.8881926940137891,0.7727154962785308,0.8656518069698379,0.7946423718991351,1,grand,1987
0.5486505988046758,0.5759293119857279,0.5188045360384402,0.5657133673751347,0.5311698836362796,0.9964,by,1987
0.542597644349391,0.579459541047618,0.4938555064527788,0.5664371747818997,0.517276810983901,0.96465,bg,1990
0.6399172493361736,0.6994595171960056,0.5687479078390719,0.6783516196211914,0.5999008058942659,0.99655,jamaica,1990
0.5411716017643984,0.5671846675840325,0.5060915505644137,0.5575154632046365,0.524686227471792,0.9865,traffic,1990
0.4473932033782899,0.49583805377263834,0.40651008748170736,0.4754482546006701,0.42136628399198284,0.01915,rrg,1990
0.8118287356980798,0.8652773161401442,0.7531218402575838,0.8444897143135264,0.7781193931710356,1,grand,1990
0.5526067966217101,0.5934899125182924,0.5041619462273615,0.5786337160080173,0.5245517453993299,0.98085,by,1990
0.5196317137784154,0.5739937767154241,0.46517793579006256,0.5525923225114268,0.48615665892782545,0.77985,bg,1994
0.5848618646275663,0.6422757511402283,0.5022270082118199,0.6242300748742184,0.5361736425376556,0.9779,jamaica,1994
0.5397768468291819,0.6281537811680752,0.41376306633592314,0.5998808510038698,0.4641932032023135,0.78385,traffic,1994
0.49580055781830823,0.5543060041987254,0.44283331670422243,0.5315352514163245,0.4622313186512207,0.4197,rrg,1994
0.8328535648666975,0.92212538844404,0.7719450649100663,0.8740380844756027,0.7921684411986273,1,grand,1994
0.5041994421816918,0.5571666832957777,0.44569399580127445,0.5377686813487793,0.46846474858367537,0.5803,by,1994
0.49158583490065705,0.5796508434381844,0.3837882469903581,0.5537236551664139,0.42346290233636885,0.47625,bg,1998
0.536045619133464,0.6298863795917581,0.4091392535954522,0.6043603162322927,0.45526909347301586,0.74565,jamaica,1998
0.5500629059589788,0.6035489368436002,0.4884780376841674,0.5868412355174116,0.5096321505821755,0.9432,traffic,1998
